region,date,confirm
Hoabinh,2021-06-01,0
Hochiminh,2021-06-01,70
Hungyen,2021-06-01,0
Khanhhoa,2021-06-01,0
Kiengiang,2021-06-01,0
Kontum,2021-06-01,0
Laichau,2021-06-01,0
Lamdong,2021-06-01,0
Langson,2021-06-01,11
Laocai,2021-06-01,0
Longan,2021-06-01,3
Namdinh,2021-06-01,0
Nghean,2021-06-01,0
Ninhbinh,2021-06-01,0
Ninhthuan,2021-06-01,0
Phutho,2021-06-01,0
Phuyen,2021-06-01,0
Quangbinh,2021-06-01,0
Quangnam,2021-06-01,0
Quangngai,2021-06-01,0
Quangninh,2021-06-01,0
Quangtri,2021-06-01,0
Soctrang,2021-06-01,0
Sonla,2021-06-01,0
Tayninh,2021-06-01,0
Thaibinh,2021-06-01,0
Thainguyen,2021-06-01,0
Thanhhoa,2021-06-01,0
Thuathienhue,2021-06-01,0
Tiengiang,2021-06-01,0
Travinh,2021-06-01,1
Tuyenquang,2021-06-01,0
Vinhlong,2021-06-01,0
Vinhphuc,2021-06-01,1
Yenbai,2021-06-01,0
Angiang,2021-06-02,2
Bacgiang,2021-06-02,159
Backan,2021-06-02,0
Baclieu,2021-06-02,0
Bacninh,2021-06-02,29
Bariavungtau,2021-06-02,0
Bentre,2021-06-02,0
Binhduong,2021-06-02,0
Binhphuoc,2021-06-02,0
Binhthuan,2021-06-02,0
Camau,2021-06-02,0
Cantho,2021-06-02,0
Caobang,2021-06-02,0
Daklak,2021-06-02,0
Daknong,2021-06-02,0
Danang,2021-06-02,1
Dienbien,2021-06-02,0
Dongnai,2021-06-02,0
Dongthap,2021-06-02,0
Gialai,2021-06-02,0
Hagiang,2021-06-02,0
Haiduong,2021-06-02,1
Haiphong,2021-06-02,0
Hanam,2021-06-02,0
Hanoi,2021-06-02,8
Hatinh,2021-06-02,0
Haugiang,2021-06-02,0
Hoabinh,2021-06-02,0
Hochiminh,2021-06-02,33
Hungyen,2021-06-02,0
Khanhhoa,2021-06-02,0
Kiengiang,2021-06-02,8
Kontum,2021-06-02,0
Laichau,2021-06-02,0
Lamdong,2021-06-02,0
Langson,2021-06-02,0
Laocai,2021-06-02,0
Longan,2021-06-02,0
Namdinh,2021-06-02,0
Nghean,2021-06-02,0
Ninhbinh,2021-06-02,0
Ninhthuan,2021-06-02,0
Phutho,2021-06-02,0
Phuyen,2021-06-02,0
Quangbinh,2021-06-02,0
Quangnam,2021-06-02,0
Quangngai,2021-06-02,0
Quangninh,2021-06-02,0
Quangtri,2021-06-02,0
Soctrang,2021-06-02,0
Sonla,2021-06-02,0
Tayninh,2021-06-02,0
Thaibinh,2021-06-02,0
Thainguyen,2021-06-02,0
Thanhhoa,2021-06-02,0
Thuathienhue,2021-06-02,0
Tiengiang,2021-06-02,0
Travinh,2021-06-02,0
Tuyenquang,2021-06-02,0
Vinhlong,2021-06-02,0
Vinhphuc,2021-06-02,0
Yenbai,2021-06-02,0
Angiang,2021-06-03,3
Bacgiang,2021-06-03,150
Backan,2021-06-03,0
Baclieu,2021-06-03,0
Bacninh,2021-06-03,43
Bariavungtau,2021-06-03,0
Bentre,2021-06-03,0
Binhduong,2021-06-03,0
Binhphuoc,2021-06-03,0
Binhthuan,2021-06-03,0
Camau,2021-06-03,0
Cantho,2021-06-03,0
Caobang,2021-06-03,0
Daklak,2021-06-03,0
Daknong,2021-06-03,0
Danang,2021-06-03,0
Dienbien,2021-06-03,0
Dongnai,2021-06-03,0
Dongthap,2021-06-03,0
Gialai,2021-06-03,0
Hagiang,2021-06-03,0
Haiduong,2021-06-03,0
Haiphong,2021-06-03,0
Hanam,2021-06-03,0
Hanoi,2021-06-03,5
Hatinh,2021-06-03,0
Haugiang,2021-06-03,0
Hoabinh,2021-06-03,0
Hochiminh,2021-06-03,33
Hungyen,2021-06-03,0
Khanhhoa,2021-06-03,0
Kiengiang,2021-06-03,10
Kontum,2021-06-03,0
Laichau,2021-06-03,0
Lamdong,2021-06-03,0
Langson,2021-06-03,3
Laocai,2021-06-03,0
Longan,2021-06-03,2
Namdinh,2021-06-03,0
Nghean,2021-06-03,0
Ninhbinh,2021-06-03,0
Ninhthuan,2021-06-03,0
Phutho,2021-06-03,0
Phuyen,2021-06-03,0
Quangbinh,2021-06-03,0
Quangnam,2021-06-03,0
Quangngai,2021-06-03,0
Quangninh,2021-06-03,0
Quangtri,2021-06-03,0
Soctrang,2021-06-03,0
Sonla,2021-06-03,0
Tayninh,2021-06-03,1
Thaibinh,2021-06-03,0
Thainguyen,2021-06-03,0
Thanhhoa,2021-06-03,0
Thuathienhue,2021-06-03,0
Tiengiang,2021-06-03,0
Travinh,2021-06-03,0
Tuyenquang,2021-06-03,0
Vinhlong,2021-06-03,0
Vinhphuc,2021-06-03,0
Yenbai,2021-06-03,0
Angiang,2021-06-04,0
Bacgiang,2021-06-04,141
Backan,2021-06-04,0
Baclieu,2021-06-04,0
Bacninh,2021-06-04,46
Bariavungtau,2021-06-04,0
Bentre,2021-06-04,0
Binhduong,2021-06-04,0
Binhphuoc,2021-06-04,0
Binhthuan,2021-06-04,0
Camau,2021-06-04,0
Cantho,2021-06-04,0
Caobang,2021-06-04,0
Daklak,2021-06-04,0
Daknong,2021-06-04,0
Danang,2021-06-04,0
Dienbien,2021-06-04,0
Dongnai,2021-06-04,0
Dongthap,2021-06-04,0
Gialai,2021-06-04,0
Hagiang,2021-06-04,1
Haiduong,2021-06-04,0
Haiphong,2021-06-04,0
Hanam,2021-06-04,0
Hanoi,2021-06-04,4
Hatinh,2021-06-04,0
Haugiang,2021-06-04,0
Hoabinh,2021-06-04,0
Hochiminh,2021-06-04,26
Hungyen,2021-06-04,0
Khanhhoa,2021-06-04,0
Kiengiang,2021-06-04,1
Kontum,2021-06-04,0
Laichau,2021-06-04,0
Lamdong,2021-06-04,0
Langson,2021-06-04,0
Laocai,2021-06-04,0
Longan,2021-06-04,0
Namdinh,2021-06-04,0
Nghean,2021-06-04,0
Ninhbinh,2021-06-04,0
Ninhthuan,2021-06-04,0
Phutho,2021-06-04,0
Phuyen,2021-06-04,0
Quangbinh,2021-06-04,0
Quangnam,2021-06-04,0
Quangngai,2021-06-04,0
Quangninh,2021-06-04,0
Quangtri,2021-06-04,0
Soctrang,2021-06-04,0
Sonla,2021-06-04,0
Tayninh,2021-06-04,4
Thaibinh,2021-06-04,1
Thainguyen,2021-06-04,0
Thanhhoa,2021-06-04,0
Thuathienhue,2021-06-04,0
Tiengiang,2021-06-04,0
Travinh,2021-06-04,0
Tuyenquang,2021-06-04,0
Vinhlong,2021-06-04,0
Vinhphuc,2021-06-04,0
Yenbai,2021-06-04,0
Angiang,2021-06-05,2
Bacgiang,2021-06-05,150
Backan,2021-06-05,0
Baclieu,2021-06-05,0
Bacninh,2021-06-05,55
Bariavungtau,2021-06-05,0
Bentre,2021-06-05,0
Binhduong,2021-06-05,2
Binhphuoc,2021-06-05,0
Binhthuan,2021-06-05,0
Camau,2021-06-05,0
Cantho,2021-06-05,0
Caobang,2021-06-05,0
Daklak,2021-06-05,0
Daknong,2021-06-05,0
Danang,2021-06-05,0
Dienbien,2021-06-05,0
Dongnai,2021-06-05,0
Dongthap,2021-06-05,0
Gialai,2021-06-05,0
Hagiang,2021-06-05,0
Haiduong,2021-06-05,0
Haiphong,2021-06-05,0
Hanam,2021-06-05,1
Hanoi,2021-06-05,1
Hatinh,2021-06-05,2
Haugiang,2021-06-05,0
Hoabinh,2021-06-05,0
Hochiminh,2021-06-05,31
Hungyen,2021-06-05,0
Khanhhoa,2021-06-05,1
Kiengiang,2021-06-05,1
Kontum,2021-06-05,0
Laichau,2021-06-05,0
Lamdong,2021-06-05,0
Langson,2021-06-05,1
Laocai,2021-06-05,0
Longan,2021-06-05,0
Namdinh,2021-06-05,0
Nghean,2021-06-05,0
Ninhbinh,2021-06-05,0
Ninhthuan,2021-06-05,0
Phutho,2021-06-05,0
Phuyen,2021-06-05,0
Quangbinh,2021-06-05,0
Quangnam,2021-06-05,0
Quangngai,2021-06-05,0
Quangninh,2021-06-05,0
Quangtri,2021-06-05,0
Soctrang,2021-06-05,0
Sonla,2021-06-05,0
Tayninh,2021-06-05,4
Thaibinh,2021-06-05,0
Thainguyen,2021-06-05,0
Thanhhoa,2021-06-05,0
Thuathienhue,2021-06-05,0
Tiengiang,2021-06-05,1
Travinh,2021-06-05,0
Tuyenquang,2021-06-05,0
Vinhlong,2021-06-05,0
Vinhphuc,2021-06-05,2
Yenbai,2021-06-05,0
Angiang,2021-06-06,0
Bacgiang,2021-06-06,120
Backan,2021-06-06,0
Baclieu,2021-06-06,0
Bacninh,2021-06-06,41
Bariavungtau,2021-06-06,0
Bentre,2021-06-06,0
Binhduong,2021-06-06,2
Binhphuoc,2021-06-06,0
Binhthuan,2021-06-06,0
Camau,2021-06-06,0
Cantho,2021-06-06,0
Caobang,2021-06-06,0
Daklak,2021-06-06,0
Daknong,2021-06-06,0
Danang,2021-06-06,0
Dienbien,2021-06-06,0
Dongnai,2021-06-06,0
Dongthap,2021-06-06,0
Gialai,2021-06-06,0
Hagiang,2021-06-06,0
Haiduong,2021-06-06,0
Haiphong,2021-06-06,0
Hanam,2021-06-06,0
Hanoi,2021-06-06,2
Hatinh,2021-06-06,5
Haugiang,2021-06-06,0
Hoabinh,2021-06-06,0
Hochiminh,2021-06-06,31
Hungyen,2021-06-06,0
Khanhhoa,2021-06-06,0
Kiengiang,2021-06-06,2
Kontum,2021-06-06,0
Laichau,2021-06-06,0
Lamdong,2021-06-06,0
Langson,2021-06-06,0
Laocai,2021-06-06,0
Longan,2021-06-06,0
Namdinh,2021-06-06,0
Nghean,2021-06-06,0
Ninhbinh,2021-06-06,0
Ninhthuan,2021-06-06,0
Phutho,2021-06-06,0
Phuyen,2021-06-06,0
Quangbinh,2021-06-06,0
Quangnam,2021-06-06,0
Quangngai,2021-06-06,0
Quangninh,2021-06-06,0
Quangtri,2021-06-06,0
Soctrang,2021-06-06,0
Sonla,2021-06-06,0
Tayninh,2021-06-06,3
Thaibinh,2021-06-06,0
Thainguyen,2021-06-06,0
Thanhhoa,2021-06-06,0
Thuathienhue,2021-06-06,0
Tiengiang,2021-06-06,0
Travinh,2021-06-06,0
Tuyenquang,2021-06-06,0
Vinhlong,2021-06-06,0
Vinhphuc,2021-06-06,0
Yenbai,2021-06-06,0
Angiang,2021-06-07,0
Bacgiang,2021-06-07,126
Backan,2021-06-07,0
Baclieu,2021-06-07,0
Bacninh,2021-06-07,34
Bariavungtau,2021-06-07,0
Bentre,2021-06-07,0
Binhduong,2021-06-07,1
Binhphuoc,2021-06-07,0
Binhthuan,2021-06-07,0
Camau,2021-06-07,0
Cantho,2021-06-07,0
Caobang,2021-06-07,0
Daklak,2021-06-07,0
Daknong,2021-06-07,0
Danang,2021-06-07,2
Dienbien,2021-06-07,2
Dongnai,2021-06-07,0
Dongthap,2021-06-07,0
Gialai,2021-06-07,0
Hagiang,2021-06-07,0
Haiduong,2021-06-07,4
Haiphong,2021-06-07,0
Hanam,2021-06-07,3
Hanoi,2021-06-07,6
Hatinh,2021-06-07,2
Haugiang,2021-06-07,0
Hoabinh,2021-06-07,0
Hochiminh,2021-06-07,80
Hungyen,2021-06-07,1
Khanhhoa,2021-06-07,0
Kiengiang,2021-06-07,2
Kontum,2021-06-07,0
Laichau,2021-06-07,0
Lamdong,2021-06-07,0
Langson,2021-06-07,9
Laocai,2021-06-07,0
Longan,2021-06-07,0
Namdinh,2021-06-07,0
Nghean,2021-06-07,0
Ninhbinh,2021-06-07,0
Ninhthuan,2021-06-07,0
Phutho,2021-06-07,0
Phuyen,2021-06-07,1
Quangbinh,2021-06-07,0
Quangnam,2021-06-07,1
Quangngai,2021-06-07,0
Quangninh,2021-06-07,0
Quangtri,2021-06-07,0
Soctrang,2021-06-07,0
Sonla,2021-06-07,0
Tayninh,2021-06-07,3
Thaibinh,2021-06-07,1
Thainguyen,2021-06-07,1
Thanhhoa,2021-06-07,1
Thuathienhue,2021-06-07,1
Tiengiang,2021-06-07,2
Travinh,2021-06-07,0
Tuyenquang,2021-06-07,0
Vinhlong,2021-06-07,1
Vinhphuc,2021-06-07,2
Yenbai,2021-06-07,0
Angiang,2021-06-08,2
Bacgiang,2021-06-08,96
Backan,2021-06-08,0
Baclieu,2021-06-08,0
Bacninh,2021-06-08,20
Bariavungtau,2021-06-08,0
Bentre,2021-06-08,0
Binhduong,2021-06-08,0
Binhphuoc,2021-06-08,0
Binhthuan,2021-06-08,0
Camau,2021-06-08,0
Cantho,2021-06-08,0
Caobang,2021-06-08,0
Daklak,2021-06-08,0
Daknong,2021-06-08,0
Danang,2021-06-08,0
Dienbien,2021-06-08,0
Dongnai,2021-06-08,0
Dongthap,2021-06-08,0
Gialai,2021-06-08,0
Hagiang,2021-06-08,0
Haiduong,2021-06-08,0
Haiphong,2021-06-08,0
Hanam,2021-06-08,0
Hanoi,2021-06-08,0
Hatinh,2021-06-08,1
Haugiang,2021-06-08,0
Hoabinh,2021-06-08,0
Hochiminh,2021-06-08,23
Hungyen,2021-06-08,0
Khanhhoa,2021-06-08,0
Kiengiang,2021-06-08,0
Kontum,2021-06-08,0
Laichau,2021-06-08,0
Lamdong,2021-06-08,0
Langson,2021-06-08,3
Laocai,2021-06-08,0
Longan,2021-06-08,0
Namdinh,2021-06-08,0
Nghean,2021-06-08,0
Ninhbinh,2021-06-08,0
Ninhthuan,2021-06-08,0
Phutho,2021-06-08,0
Phuyen,2021-06-08,0
Quangbinh,2021-06-08,0
Quangnam,2021-06-08,0
Quangngai,2021-06-08,0
Quangninh,2021-06-08,0
Quangtri,2021-06-08,0
Soctrang,2021-06-08,0
Sonla,2021-06-08,0
Tayninh,2021-06-08,0
Thaibinh,2021-06-08,0
Thainguyen,2021-06-08,0
Thanhhoa,2021-06-08,0
Thuathienhue,2021-06-08,0
Tiengiang,2021-06-08,0
Travinh,2021-06-08,0
Tuyenquang,2021-06-08,0
Vinhlong,2021-06-08,0
Vinhphuc,2021-06-08,0
Yenbai,2021-06-08,0
Angiang,2021-06-09,0
Bacgiang,2021-06-09,297
Backan,2021-06-09,0
Baclieu,2021-06-09,0
Bacninh,2021-06-09,35
Bariavungtau,2021-06-09,7
Bentre,2021-06-09,0
Binhduong,2021-06-09,0
Binhphuoc,2021-06-09,0
Binhthuan,2021-06-09,0
Camau,2021-06-09,0
Cantho,2021-06-09,0
Caobang,2021-06-09,0
Daklak,2021-06-09,0
Daknong,2021-06-09,0
Danang,2021-06-09,0
Dienbien,2021-06-09,0
Dongnai,2021-06-09,0
Dongthap,2021-06-09,0
Gialai,2021-06-09,0
Hagiang,2021-06-09,0
Haiduong,2021-06-09,0
Haiphong,2021-06-09,0
Hanam,2021-06-09,0
Hanoi,2021-06-09,6
Hatinh,2021-06-09,3
Haugiang,2021-06-09,0
Hoabinh,2021-06-09,0
Hochiminh,2021-06-09,54
Hungyen,2021-06-09,0
Khanhhoa,2021-06-09,0
Kiengiang,2021-06-09,0
Kontum,2021-06-09,0
Laichau,2021-06-09,0
Lamdong,2021-06-09,0
Langson,2021-06-09,1
Laocai,2021-06-09,0
Longan,2021-06-09,1
Namdinh,2021-06-09,0
Nghean,2021-06-09,0
Ninhbinh,2021-06-09,0
Ninhthuan,2021-06-09,0
Phutho,2021-06-09,0
Phuyen,2021-06-09,0
Quangbinh,2021-06-09,0
Quangnam,2021-06-09,0
Quangngai,2021-06-09,0
Quangninh,2021-06-09,0
Quangtri,2021-06-09,0
Soctrang,2021-06-09,0
Sonla,2021-06-09,0
Tayninh,2021-06-09,3
Thaibinh,2021-06-09,0
Thainguyen,2021-06-09,0
Thanhhoa,2021-06-09,0
Thuathienhue,2021-06-09,0
Tiengiang,2021-06-09,0
Travinh,2021-06-09,0
Tuyenquang,2021-06-09,0
Vinhlong,2021-06-09,0
